id,roll_no,mentor,trigger,playbook,approved_by_mentor,created_at,followup_at,status,outcome
IV00219,21CSE20062,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-09-01,2025-09-22,closed,improved
IV00220,22EEE0070,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-09-29,2025-10-20,closed,improved
IV00221,22BIO0009,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-08-25,2025-09-15,closed,unreachable
IV00222,23CSE0025,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-09-08,2025-09-29,closed,improved
IV00223,23CSE0066,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-10-13,2025-11-03,closed,unchanged
IV00224,21ECE0117,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-10-27,2025-11-17,closed,unchanged
IV00225,21CSE0044,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-11-03,2025-11-24,closed,improved
IV00226,22CIV0017,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-10-27,2025-11-17,closed,improved
IV00227,23IT0002,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-08-04,2025-08-25,closed,unchanged
IV00228,22CHE0048,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-10-13,2025-11-03,closed,improved
IV00229,22BIO0034,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-08-18,2025-09-08,closed,improved
IV00230,22CIV20068,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-09-01,2025-09-22,closed,unchanged
IV00231,21CSE20072,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-08-11,2025-09-01,closed,unreachable
IV00232,22IT0057,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-10-06,2025-10-27,closed,improved
IV00233,21AER0007,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-09-22,2025-10-13,closed,unchanged
IV00234,23ECE0030,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-11-03,2025-11-24,closed,improved
IV00235,22EEE0079,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-10-20,2025-11-10,closed,improved
IV00236,23ECE0012,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-24,2025-12-15,closed,unchanged
IV00237,23EEE0004,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-10-20,2025-11-10,closed,improved
IV00238,23MET0100,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-10-27,2025-11-17,closed,improved
IV00239,21MEC0011,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-11-17,2025-12-08,closed,improved
IV00240,21MET0093,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-08-04,2025-08-25,closed,unreachable
IV00241,23MEC20034,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-08-25,2025-09-15,closed,unreachable
IV00242,21ECE0046,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-11-10,2025-12-01,closed,improved
IV00243,23CSE0060,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-01,2025-09-22,closed,improved
IV00244,22MEC0018,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-25,2025-09-15,closed,worsened
IV00245,21IT0080,Dr. S. Rao,chronic_low_attendance,Weekly attendance contract,1,2025-09-01,2025-09-22,closed,improved
IV00246,21ECE20066,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-04,2025-08-25,closed,unreachable
IV00247,21EEE0099,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-10-20,2025-11-10,closed,improved
IV00248,23AER0111,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-08-25,2025-09-15,closed,worsened
IV00249,22MEC20079,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-08-25,2025-09-15,closed,worsened
IV00250,21IT0005,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-03,2025-11-24,closed,unchanged
IV00251,22BIO0001,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-10-13,2025-11-03,closed,improved
IV00252,22ECE20079,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-10-06,2025-10-27,closed,worsened
IV00253,22CHE0061,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-09-15,2025-10-06,closed,unchanged
IV00254,23CSE0083,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-10-20,2025-11-10,closed,unreachable
IV00255,22IT0095,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-24,2025-12-15,closed,improved
IV00256,21MEC20119,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-11-10,2025-12-01,closed,unreachable
IV00257,21AER0033,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-11-17,2025-12-08,closed,improved
IV00258,23IT0096,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-11-10,2025-12-01,closed,unchanged
IV00259,21EEE0082,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-08-18,2025-09-08,closed,improved
IV00260,22EEE0025,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-11-10,2025-12-01,closed,improved
IV00261,23AER0069,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-09-08,2025-09-29,closed,unchanged
IV00262,22CIV0105,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-08-11,2025-09-01,closed,worsened
IV00263,23ECE20062,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-08-25,2025-09-15,closed,improved
IV00264,23CIV0102,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-10-27,2025-11-17,closed,improved
IV00265,23EEE0083,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-10-06,2025-10-27,closed,improved
IV00266,23ECE0051,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-08-25,2025-09-15,closed,improved
IV00267,22BIO0112,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-08-04,2025-08-25,closed,improved
IV00268,22MEC0036,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-09-22,2025-10-13,closed,worsened
IV00269,21MET0036,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-10-27,2025-11-17,closed,improved
IV00270,22MEC0059,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-11,2025-09-01,closed,improved
IV00271,21CSE0020,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-24,2025-12-15,closed,improved
IV00272,22ECE20108,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-10-06,2025-10-27,closed,improved
IV00273,21MEC0115,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-10-27,2025-11-17,closed,unreachable
IV00274,21MEC0114,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-08-11,2025-09-01,closed,worsened
IV00275,22CSE0111,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-09-15,2025-10-06,closed,improved
IV00276,23MEC0086,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-10-20,2025-11-10,closed,unreachable
IV00277,22IT0081,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-09-15,2025-10-06,closed,worsened
IV00278,21MET0074,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-09-15,2025-10-06,closed,improved
IV00279,21EEE0069,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-11-24,2025-12-15,closed,unchanged
IV00280,21MEC20081,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-11-10,2025-12-01,closed,improved
IV00281,23MEC20004,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-09-08,2025-09-29,closed,improved
IV00282,23AER0092,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-08-18,2025-09-08,closed,improved
IV00283,23CIV0071,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-10-13,2025-11-03,closed,unchanged
IV00284,22CHE0056,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-10-27,2025-11-17,closed,unchanged
IV00285,21CSE20090,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-08-18,2025-09-08,closed,improved
IV00286,22CIV20073,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-08-25,2025-09-15,closed,improved
IV00287,23CSE20029,Dr. S. Rao,chronic_low_attendance,Weekly attendance contract,1,2025-09-22,2025-10-13,closed,worsened
IV00288,21CHE0057,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-09-29,2025-10-20,closed,improved
IV00289,22CIV20117,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-11-17,2025-12-08,closed,improved
IV00290,22MEC20002,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-09-08,2025-09-29,closed,unchanged
IV00291,21CSE20003,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-09-22,2025-10-13,closed,unchanged
IV00292,23ECE20058,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-09-22,2025-10-13,closed,improved
IV00293,23CIV0035,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-11-03,2025-11-24,closed,improved
IV00294,22ECE0042,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-09-01,2025-09-22,closed,improved
IV00295,23CSE20034,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-10-27,2025-11-17,closed,improved
IV00296,21MEC0051,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-09-29,2025-10-20,closed,improved
IV00297,22CSE0049,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-15,2025-10-06,closed,unchanged
IV00298,23EEE0026,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-10-20,2025-11-10,closed,unreachable
IV00299,22CSE0099,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-09-08,2025-09-29,closed,improved
IV00300,23EEE0052,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-09-01,2025-09-22,closed,unreachable
IV00301,21EEE0106,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-04,2025-08-25,closed,unchanged
IV00302,23AER0067,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-11-03,2025-11-24,closed,unchanged
IV00303,23CIV20093,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-08-18,2025-09-08,closed,unchanged
IV00304,21IT0104,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-11-17,2025-12-08,closed,unreachable
IV00305,21EEE0055,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-08-11,2025-09-01,closed,unreachable
IV00306,23CIV20072,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-09-22,2025-10-13,closed,unreachable
IV00307,23BIO0060,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-08-25,2025-09-15,closed,improved
IV00308,23MEC20022,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-10-20,2025-11-10,closed,improved
IV00309,23BIO0067,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-10-13,2025-11-03,closed,unchanged
IV00310,22MET0059,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-11-24,2025-12-15,closed,improved
IV00311,21CSE20039,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-15,2025-10-06,closed,improved
IV00312,23ECE0118,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-09-29,2025-10-20,closed,improved
IV00313,21CHE0054,Dr. S. Rao,chronic_low_attendance,Weekly attendance contract,1,2025-09-08,2025-09-29,closed,unchanged
IV00314,21CIV20062,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-09-15,2025-10-06,closed,improved
IV00315,23CSE0031,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-09-22,2025-10-13,closed,improved
IV00316,23MET0062,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-09-29,2025-10-20,closed,improved
IV00317,21CIV20022,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-11-17,2025-12-08,closed,improved
IV00318,23CHE0043,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-09-15,2025-10-06,closed,improved
IV00319,22MEC20088,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-11-24,2025-12-15,closed,improved
IV00320,21CIV20074,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-09-15,2025-10-06,closed,improved
IV00321,22ECE0060,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-08-18,2025-09-08,closed,worsened
IV00322,21ECE20051,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-08-04,2025-08-25,closed,worsened
IV00323,23ECE20050,Dr. S. Rao,chronic_low_attendance,Weekly attendance contract,1,2025-11-03,2025-11-24,closed,improved
IV00324,23MET0058,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-10-27,2025-11-17,closed,improved
IV00325,23CIV20103,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-08-25,2025-09-15,closed,unreachable
IV00326,23IT0020,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-10-06,2025-10-27,closed,improved
IV00327,21MEC20008,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-10-27,2025-11-17,closed,improved
IV00328,21EEE0104,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-10-20,2025-11-10,closed,unchanged
IV00329,21CIV0020,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-09-15,2025-10-06,closed,improved
IV00330,22ECE0058,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-10-13,2025-11-03,closed,improved
IV00331,23MEC0065,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-10-13,2025-11-03,closed,improved
IV00332,23CHE0027,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-08-25,2025-09-15,closed,unreachable
IV00333,22BIO0091,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-11-24,2025-12-15,closed,improved
IV00334,21CSE20044,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-17,2025-12-08,closed,improved
IV00335,23ECE20063,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-25,2025-09-15,closed,unchanged
IV00336,21BIO0068,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-08-25,2025-09-15,closed,improved
IV00337,21ECE20111,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-11-24,2025-12-15,closed,unchanged
IV00338,21MEC0086,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-09-22,2025-10-13,closed,unchanged
IV00339,21CIV20040,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-10-20,2025-11-10,closed,improved
IV00340,22AER0105,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-09-22,2025-10-13,closed,improved
IV00341,22ECE20118,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-10-27,2025-11-17,closed,improved
IV00342,22CSE20011,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-15,2025-10-06,closed,improved
IV00343,23MET0103,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-09-15,2025-10-06,closed,improved
IV00344,23MEC20010,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-11-17,2025-12-08,closed,worsened
IV00345,21MEC20059,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-09-22,2025-10-13,closed,improved
IV00346,23ECE20116,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-09-01,2025-09-22,closed,improved
IV00347,23CIV0044,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-10,2025-12-01,closed,unchanged
IV00348,23ECE20109,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-10-20,2025-11-10,closed,improved
IV00349,22MEC20087,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-25,2025-09-15,closed,unchanged
IV00350,22MEC0078,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-08-04,2025-08-25,closed,unchanged
IV00351,23BIO0112,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-09-29,2025-10-20,closed,improved
IV00352,21IT0060,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-10-13,2025-11-03,closed,unreachable
IV00353,21ECE0060,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-15,2025-10-06,closed,unreachable
IV00354,23CIV20059,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-08,2025-09-29,closed,improved
IV00355,22EEE0031,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-10-06,2025-10-27,closed,unreachable
IV00356,23CHE0082,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-08,2025-09-29,closed,improved
IV00357,21IT0079,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-11-10,2025-12-01,closed,improved
IV00358,23CIV20062,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-10-06,2025-10-27,closed,improved
IV00359,23MEC0026,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-10-06,2025-10-27,closed,improved
IV00360,22CSE20029,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-09-08,2025-09-29,closed,improved
IV00361,21MET0060,Dr. S. Rao,chronic_low_attendance,Weekly attendance contract,1,2025-11-24,2025-12-15,closed,improved
IV00362,22ECE20110,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-11-10,2025-12-01,closed,improved
IV00363,23CIV20096,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-11-24,2025-12-15,closed,worsened
IV00364,23CSE20045,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-08-25,2025-09-15,closed,improved
IV00365,22ECE20071,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-09-29,2025-10-20,closed,improved
IV00366,22MET0029,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-10-13,2025-11-03,closed,improved
IV00367,22AER0104,Dr. S. Rao,chronic_low_attendance,Weekly attendance contract,1,2025-08-04,2025-08-25,closed,improved
IV00368,21ECE0032,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-09-01,2025-09-22,closed,worsened
IV00369,22MEC0031,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-09-15,2025-10-06,closed,improved
IV00370,21MEC20038,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-09-22,2025-10-13,closed,worsened
IV00371,22CIV0012,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-11-10,2025-12-01,closed,improved
IV00372,21EEE0103,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-11-10,2025-12-01,closed,unchanged
IV00373,21CSE0014,Dr. S. Rao,chronic_low_attendance,Weekly attendance contract,1,2025-11-03,2025-11-24,closed,unreachable
IV00374,21MEC0103,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-08-04,2025-08-25,closed,improved
IV00375,21MEC0012,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-01,2025-09-22,closed,unchanged
IV00376,23CIV0106,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-10-27,2025-11-17,closed,unchanged
IV00377,23CSE0058,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-09-22,2025-10-13,closed,improved
IV00378,22CIV20118,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-10-27,2025-11-17,closed,unreachable
IV00379,21CHE0030,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-11-24,2025-12-15,closed,unchanged
IV00380,21MEC0101,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-18,2025-09-08,closed,improved
IV00381,23MEC20077,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-29,2025-10-20,closed,unreachable
IV00382,21CSE20059,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-08-25,2025-09-15,closed,improved
IV00383,23CHE0028,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-08-04,2025-08-25,closed,unchanged
IV00384,23MET0069,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-09-01,2025-09-22,closed,unchanged
IV00385,22BIO0054,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-09-29,2025-10-20,closed,improved
IV00386,21CSE0021,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-11-24,2025-12-15,closed,worsened
IV00387,22CIV0055,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-11-24,2025-12-15,closed,improved
IV00388,21MET0102,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-09-08,2025-09-29,closed,improved
IV00389,23MEC0081,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-09-08,2025-09-29,closed,worsened
IV00390,21BIO0015,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-09-08,2025-09-29,closed,unreachable
IV00391,23AER0114,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-10-06,2025-10-27,closed,improved
IV00392,23MEC0068,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-10-06,2025-10-27,closed,improved
IV00393,22MEC0099,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-09-29,2025-10-20,closed,improved
IV00394,23CIV20040,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-10-13,2025-11-03,closed,worsened
IV00395,23BIO0001,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-09-22,2025-10-13,closed,improved
IV00396,23CHE0013,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-10-13,2025-11-03,closed,improved
IV00397,22CSE20092,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-10-20,2025-11-10,closed,worsened
IV00398,23MET0112,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-15,2025-10-06,closed,worsened
IV00399,23ECE20059,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-11-17,2025-12-08,closed,improved
IV00400,23CHE0048,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-10-20,2025-11-10,closed,improved
IV00401,23AER0071,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-10-06,2025-10-27,closed,improved
IV00402,21MEC20025,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-01,2025-09-22,closed,improved
IV00403,22IT0108,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-09-08,2025-09-29,closed,improved
IV00404,23CIV20076,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-24,2025-12-15,closed,improved
IV00405,22CHE0081,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-08-18,2025-09-08,closed,improved
IV00406,22MEC0110,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-08-04,2025-08-25,closed,unchanged
IV00407,23CSE20109,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-09-29,2025-10-20,closed,unchanged
IV00408,23MEC20101,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-11-10,2025-12-01,closed,worsened
IV00409,22ECE20028,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-11-10,2025-12-01,closed,improved
IV00410,22CIV0096,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-10-13,2025-11-03,closed,improved
IV00411,21CSE20093,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-08-18,2025-09-08,closed,worsened
IV00412,23CIV0073,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-09-15,2025-10-06,closed,unreachable
IV00413,22MET0033,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-10-06,2025-10-27,closed,worsened
IV00414,22BIO0072,Dr. K. Fernandes,low_submission,Assignment catch-up plan,1,2025-09-08,2025-09-29,closed,improved
IV00415,22ECE0021,Dr. K. Fernandes,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-15,2025-10-06,closed,unchanged
IV00416,23MEC0082,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-10-20,2025-11-10,closed,improved
IV00417,22CIV0112,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-09-29,2025-10-20,closed,improved
IV00418,22IT0060,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-10-20,2025-11-10,closed,improved
IV00419,21ECE20005,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-09-15,2025-10-06,closed,improved
IV00420,22EEE0115,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-09-29,2025-10-20,closed,improved
IV00421,22ECE20065,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-10-27,2025-11-17,closed,improved
IV00422,22MEC0062,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-11-03,2025-11-24,closed,improved
IV00423,22CIV0077,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-08-25,2025-09-15,closed,improved
IV00424,23IT0081,Prof. A. Bose,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-03,2025-11-24,closed,unchanged
IV00425,21CHE0088,Dr. S. Rao,low_submission,Assignment catch-up plan,1,2025-09-22,2025-10-13,closed,improved
IV00426,23MET0118,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-10-06,2025-10-27,closed,improved
IV00427,22MET0116,Prof. A. Bose,sudden_disengagement,15-minute check-in call,1,2025-10-06,2025-10-27,closed,unreachable
IV00428,23ECE20106,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-09-22,2025-10-13,closed,improved
IV00429,23AER0089,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-09-22,2025-10-13,closed,unreachable
IV00430,21CHE0005,Prof. M. Iyer,sudden_disengagement,15-minute check-in call,1,2025-09-15,2025-10-06,closed,improved
IV00431,21CSE0023,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-09-15,2025-10-06,closed,improved
IV00432,23ECE20029,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-10-20,2025-11-10,closed,improved
IV00433,22MET0094,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-08-11,2025-09-01,closed,improved
IV00434,23CSE20065,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-08-25,2025-09-15,closed,unchanged
IV00435,21MET0078,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-08-04,2025-08-25,closed,worsened
IV00436,22ECE20097,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-09-29,2025-10-20,closed,improved
